"Region","Regional Contact","Regional Review","Regional Contact Comments","Project","Species","Caribou Ecotype","Caribou Population Unit","Management Area","WLH ID","Animal ID","Sex","Life Stage","Calf at Heel","Ear Tag Right","Ear Tag Left","Device ID","Radio Frequency","Re-capture","Trans-location","Collar Type","Collar Make","Collar Model","Satellite Network","Capture Date","Capture Date Year","Capture Date Month","Capture UTM Zone","Capture UTM Easting","Capture UTM Northing","Release Date","Animal Status","Collar Status","Collar Status Details","Deactivated?","Mortality Date","Malfunction Date","Retreival Date","Mortality UTM Zone","Mortality UTM Easting","Mortality UTM Northing","Max Transmission Date","2014/3","2014/4","2014/5","2014/6","2014/7","2014/8","2014/9","2014/10","2014/11","2014/12","2015/1","2015/2","2015/3","2015/4","2015/5","2015/6","2015/7","2015/8","2015/9","2015/10","2015/11","2015/12","2016/01","2016/02","2016/03","2016/04","2016/05","2016/06","2016/07","2016/08","2016/09","2016/10","2016/11","2016/12","2017/01","2017/02","2017/03","2017/04","2017/05","2017/06","2017/07","2017/08","2017/09","2017/10","2017/11","2017/12","2018/01","2018/02","2018/03","2018/04","2018/05","2018/06","2018/07","2018/08","2018/09","2018/10","2018/11","2018/12","2019/1","2019/2","2019/3","2019/4","2019/5","2019/6","2019/7","2019/8","2019/9","2019/10","2019/11","2019/12","2020/01","2020/02","Mortality Review","Comments","Database Notes","CID"
"Peace","Agnes Pelletier","Agnes Pelletier","","BCOGRIS","Caribou","Boreal","Calendar","","18-12334H","SCEK181b","F","NR","N","None","RED w/ red button","20632.0","150.01","Y","N","GPS","Vectronics","GSM","","42425.0","2016.0","2.0","10.0","626976.0","6627936.0","","Alive","Deployed","Offline","Y","","43170.0","","","","","43162.50033564815","","","","","","","","","","","","","","","","","","","","","","","","8.0","56.0","51.0","57.0","46.0","43.0","43.0","53.0","52.0","56.0","54.0","56.0","49.0","52.0","53.0","43.0","41.0","37.0","40.0","45.0","54.0","55.0","51.0","49.0","21.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","",".  Battery expired. Last heard Feb 2018","","180.0"
"Peace","Agnes Pelletier","Agnes Pelletier","","","Caribou","Southern Mountain-central group","Kennedy Siding","","15-7318","car201","F","NR","NR","None","PURPLE w/ green button","37462.0","150.01","N","N","GPS","Lotek","Lifecycle","","42808.0","2017.0","3.0","","","","","Unknown","Deployed","Offline","Y","","","","","","","43405.083668982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0","32.0","21.0","18.0","17.0","6.0","8.0","25.0","23.0","31.0","33.0","22.0","20.0","27.0","21.0","18.0","14.0","18.0","23.0","25.0","1.0","","","","","","","","","","","","","","","","",".  Last heard 1-Nov-2018","","181.0"
"Cariboo","Carolyn Shores","","","Itcha-Ilgachuz_Rainbow_CharlotteAlplands Telemetry 2018-2023","Caribou","Southern Mountain-north group","Itcha-Ilgachuz","","17-10788","24","F","","","","","101819.0","150.66","N","N","GPS","Lotek","Lifecycle Pro 330","Globalstar","43171.0","2018.0","3.0","10.0","402146.0","5774514.0","","Mortality","Retrieved","Mortality","","43647.0","","43648.0","","","","43640.292453704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","6.0","4.0","5.0","8.0","5.0","7.0","8.0","4.0","5.0","6.0","6.0","9.0","3.0","4.0","2.0","","","","","","","","","Email alert Jul 1, mortality file Aug 1, 2019",".  ","","276.0"
"Thompson","Ernst Bevan","","","","Caribou","Southern Mountain-south group","Wells Gray South","","17-10673","17-10673","","","","","","81323.0","150.66000366210938","N","N","GPS","Lotek","LITETRACK IRIDIUM360 w TRD","Iridium","43184.0","2018.0","3.0","11.0","324484.0","5760388.0","","Alive","Deployed","Active","","","","","","","","43612.750729167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0","87.0","20.0","22.0","29.0","27.0","22.0","14.0","19.0","139.0","147.0","135.0","146.0","75.0","16.0","","","","","","","","","","",".  ","","277.0"
"Peace","Agnes Pelletier","Agnes Pelletier","Grp included SCEK046 (148.984)","BCOGRIS","Caribou","Boreal","Snake-Sahtaneh","","18-12303H","SCEK152","F","A","N","RED","None","17654.0","150.669","N","N","VHF","Lotek","LMRT4","","41335.0","2013.0","3.0","10.0","582422.0","6488747.0","","Alive","Deployed","Active","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".  Still active Apr 30, 2018","","278.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","North Cariboo","","17-10700","17-10700","F","","","","","81324.0","150.67","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43163.0","2018.0","3.0","10.0","597492.0","5956715.0","","Alive","Deployed","Active","","","","","","","","43880.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0","47.0","114.0","131.0","71.0","33.0","22.0","27.0","50.0","55.0","47.0","45.0","47.0","41.0","118.0","108.0","61.0","34.0","17.0","21.0","35.0","42.0","42.0","26.0","",".  No status field provided.  ","","279.0"
"Cariboo","Carolyn Shores","","","Itcha-Ilgachuz_Rainbow_CharlotteAlplands Telemetry 2018-2023","Caribou","Southern Mountain-north group","Itcha-Ilgachuz","","17-10791","25","F","","","","","101820.0","150.67","N","N","GPS","Lotek","Lifecycle Pro 360 with timed dropoff","","43172.0","2018.0","3.0","10.0","407612.0","5774333.0","","Alive","Deployed","Active","","","","","","","","43872.667071759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","10.0","11.0","18.0","13.0","7.0","10.0","9.0","8.0","10.0","8.0","6.0","7.0","7.0","8.0","12.0","11.0","8.0","12.0","11.0","8.0","12.0","5.0","3.0","",".  ","","280.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-north group","Wolverine","","16-8915","","F","","","","","40881.0","148.24","N","N","GPS","Lotek","Lifecycle Pro 500","Globalstar","42774.0","2017.0","2.0","","","","","Alive","Deployed","Potential Malfunction","","","","","","","","43268.12525463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","15.0","23.0","23.0","11.0","13.0","8.0","17.0","24.0","35.0","45.0","39.0","40.0","32.0","20.0","9.0","2.0","","","","","","","","","","","","","","","","","","","","","","","20190829: Spatial check. Deployed in field 04/02/2017 from Prince George. Device last active in field 17/06/2018.","557.0"
"Skeena","Anne Marie Roberts","","","","Caribou","Southern Mountain-north group","Tweedsmuir","","18-13305","TWC1021","F","Y","N","0-2135","None","21520.0","149.87","N","N","GPS","Vectronics","GPS Plus Vertex Survey","Globalstar","43481.0","2019.0","1.0","9.0","696677.0","5937025.0","","Alive","Deployed","Active","","","","","","","","43774.833761574075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0","46.0","29.0","52.0","49.0","49.0","31.0","21.0","7.0","9.0","1.0","","","","Mortality file 9-Jan-19 -",".  This animal is still active. ","New unknown animal, collecting telemetry data after Mortality date of 16-8928 (CID 683). Telemetry data gap btw May 2018 to Jan 2019?","1174.0"
"Skeena","Conrad Thiessen","","","","Caribou","Northern Mountain","Carcross","","18-13290","SKRATACC0001","F","OA","N","None","NR","81349.0","151.01","N","N","GPS","Lotek","Litetrack Iridium 360","Iridium","43529.0","2019.0","3.0","8.0","529077.0","6690903.0","","Unknown","Deployed","","","","","","","","","43667.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0","53.0","187.0","172.0","102.0","","","","","","","","Spatial review - near Carcross 28/04/2019, getting ready to deploy? Several email alerts and mortality files received Feb to May, 2019.",".  ","New animal (old CID 235). Telemetry data gap btw Nov 2018 and Feb 2019.","1175.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","18-13114","None ","F","OA","Y","None","0-1379","81361.0","151.31","N","N","GPS","Lotek","Iridium","Iridium","43499.0","2019.0","2.0","10.0","625206.0","5984533.0","","Alive","Unknown","","","","","","","","","43856.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0","33.0","53.0","174.0","148.0","84.0","","","","","","30.0","","",".  ","New animal (old CID 64). Telemetry data gap btw Oct 2018 and Feb 2019.","1176.0"
"Cariboo","Carolyn Shores","","","Itcha-Ilgachuz_Rainbow_CharlotteAlplands Telemetry 2018-2023","Caribou","Southern Mountain-north group","Itcha-Ilgachuz","","17-10770","29","F","","","","","101824.0","150.74","N","N","GPS","Lotek","Lifecycle Pro 360 with timed dropoff","","43167.0","2018.0","3.0","10.0","374843.0","5777591.0","","Unknown","Deployed","Malfunction","","","43366.0","","","","","43364.584155093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0","10.0","7.0","3.0","13.0","7.0","4.0","","","","","","","","","","","","","","","","","","",".  ","Malfunction","46.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10708","17-10708","F","","","","","81330.0","150.75","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43165.0","2018.0","3.0","10.0","613915.0","5984456.0","","Alive","Deployed","Active","","","","","","","","43879.584074074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.0","55.0","157.0","127.0","72.0","29.0","30.0","32.0","37.0","46.0","45.0","47.0","47.0","45.0","175.0","148.0","89.0","37.0","29.0","25.0","21.0","45.0","52.0","26.0","",".  No status field provided.  ","","47.0"
"Omineca","Mike Klaczek","","","","Caribou","Southern Mountain-south group","Hart Ranges","","17-10732","17-10732","F","","","","","81331.0","150.76","N","N","GPS","Lotek","LITETRACK IRIDIUM360","Iridium","43158.0","2018.0","2.0","10.0","596080.0","5999516.0","","Alive","Deployed","Active","","","","","","","","43851.583715278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","56.0","57.0","99.0","133.0","65.0","24.0","30.0","35.0","41.0","40.0","48.0","42.0","45.0","30.0","114.0","101.0","58.0","32.0","24.0","29.0","27.0","","3.0","","",".  No status field provided.  ","","48.0"
"Cariboo","Carolyn Shores","","","Itcha-Ilgachuz_Rainbow_CharlotteAlplands Telemetry 2018-2023","Caribou","Southern Mountain-north group","Itcha-Ilgachuz","","17-10761","30","F","","","","","101825.0","150.76","N","N","GPS","Lotek","Lifecycle Pro 360 with timed dropoff","","43167.0","2018.0","3.0","10.0","374661.0","5774908.0","","Unknown","Deployed","Malfunction","","","43411.0","","","","","43399.250069444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","7.0","2.0","8.0","1.0","5.0","3.0","7.0","","","","","","","","","","","","","","","","","",".  ","Malfunction","49.0"
